name	description	tags	abilityId	version
連撃：神光石火	対象技命中時、追加でダメージLv3を1回与える			
神光	対象技発動時、消費ガッツを0にする＜1回＞			
シールド[小]：九重神眼	対象技命中時、ライフ10%分の【シールド】を展開する＜20秒＞＜1回＞			
連撃（持続）：九重神眼	対象技命中時、技に追加でダメージLv1を1回与える＜15秒＞＜1回＞			
ガードディクリーズ	対象技発動時、相手の回避と丈夫さの基礎ステータス20%低下/ガッツ回復Lv4			
[遠]与ダメ上昇	技が命中したとき遠距離の与ダメ上昇Lv3＜10秒＞			
連撃：火ノ鳥神楽	対象技命中時、追加でダメージLv7を与える			
ちから上昇[中]	ちからパラ+30			
[相手黒]クリ上昇	相手＜オーラ黒＞かつ技が命中したときクリ上昇Lv3			
連撃：天叢雲剣	対象技命中時、追加でダメージLv5を1回与える			
数珠：1080	対象技命中時、相手がシールドを展開中かつクリティカルだった時はシールド破壊＜1回＞			
超・占事略決	対象技命中時、オーラ技命中時にかしこさステータスの20%を攻撃ステータス加算＜20秒＞＜1回＞\n対象技命中時、自身のライフ以外のステータス上昇10%＜20秒＞＜1回＞			
法則操作	対象技命中時、相手に発動中の能力をランダムで1〜3個、能力解除する＜1回＞\n解除した能力1個につき、自身の消費ガッツ＜-10%＞、相手の消費ガッツ＜+10%＞＜20秒＞＜1回＞			
森羅万象	対象技命中時、次の効果発動＜1回＞\n・[ガッツ回復100%]\n・回避20%分の【シールド】を展開する＜20秒＞			
レンジブースト	対象技の間合い適性効果アップ/ガッツ回復Lv4			
炸裂気泡陣	対象技命中時、次の効果発動\n・ダメージ＜30%＞の追撃を＜5回＞\n・バトル中の技発動回数に応じてクリ率が2上昇[最大10まで]			
疫：火傷Lv3	対象技命中時、相手に[火傷Lv3＜20秒＞]を付与＜1回＞			
天の川	対象技命中時、次の効果を発動＜1回＞\n・すべての技にダメージ＜30%＞の追撃効果を付与\n・すべての技ステータス上昇Lv5			
刹那の逢瀬	バトル開始時次の効果を付与＜1回＞\n・技命中時、命中した数に応じて＜×2＞のガッツ回復			
煉獄Lv3	対象技命中時、バトル中相手にかしこさ技を命中させた回数だけ連撃Lv3を追加＜最大3回＞			
狐の力	対象技命中時、ガッツ消費量20につき攻撃ステータス上昇5%[最大20%まで]			
連撃：王狐炎衝	対象技命中時、与ダメージ＜30%＞の追撃＜3回＞			
殺生石	対象技発動後、相手に＜5秒＞ごとに最大ライフ＜5%＞の継続ダメージ＜15秒＞＜1回＞			
影装・刃	対象技命中時、自身のすべての技にクリティカル率上昇Lv4、[プラズマ]中は本効果のLv4がLv7に上昇＜1回＞		
楔	対象技命中時に相手を[楔]状態にする、[楔]中、相手の技ステータスをすべて低下Lv1＜重複不可＞		
プラズマ	対象技命中時、自身を[プラズマ]状態にする、[プラズマ]中、自身の技ステータスをすべて上昇Lv1＜重複不可＞\n次の技命中時、プラズマを解除する		
影装・杖	対象技命中時、自身のすべての技の攻撃ステータス5%上昇、[プラズマ]中は本効果の5%が8%に上昇＜1回＞		
影装・槌	対象技命中時、自身のすべての技のクリティカルダメージ上昇Lv2、[プラズマ]中は本効果のLv2がLv3に上昇＜1回＞		
影装・弓	対象技命中時、自身のすべての技に追加ダメージLv1を1回、[プラズマ]中は本効果のLv1をさらに1回追加＜1回＞		
影装・笏	対象技命中時、自身のすべての技の技ガッツダウン上昇Lv6、[プラズマ]中は本効果のLv6がLv9に上昇＜1回＞		
影装・拳	対象技命中時、自身のすべての技の消費ガッツ減少10%、[プラズマ]中は本効果の10%が20%に上昇＜1回＞		
影装・爪	対象技命中時、自身のすべての技の有利オーラ効果アップ20%、[プラズマ]中は本効果の20%が30%に上昇＜1回＞		
